date,open,high,low,close,volume
2025-11-04,1406.864,1415.734,1378.642,1387.239,1078230200
2025-11-05,1355.722,1398.368,1355.722,1390.395,1180566100
2025-11-06,1405.154,1442.812,1403.073,1436.858,1370438500
2025-11-07,1420.229,1434.387,1414.468,1415.686,1319918500
2025-11-10,1422.322,1431.766,1389.774,1407.558,1344762300
2025-11-11,1416.858,1423.679,1385.067,1387.534,1175212700
2025-11-12,1377.147,1388.508,1362.378,1379.452,1272404100
2025-11-13,1376.369,1404.629,1373.493,1399.292,1211163000
2025-11-14,1379.437,1390.62,1361.232,1361.232,1152590000
2025-11-17,1363.478,1377.547,1344.908,1354.038,1130595500
2025-11-18,1350.507,1374.032,1348.1,1357.926,1153598500
2025-11-19,1355.131,1363.855,1338.451,1344.796,900613000
2025-11-20,1362.852,1364.482,1327.294,1328.186,774703900
2025-11-21,1300.479,1311.324,1282.454,1285.83,1007064900
2025-11-24,1295.88,1306.044,1273.492,1296.602,881365300
2025-11-25,1309.674,1323.205,1298.854,1302.167,827302300
2025-11-26,1296.455,1327.536,1293.185,1315.041,781582700
2025-11-27,1325.849,1351.436,1308.847,1310.701,803048900
2025-11-28,1307.962,1329.327,1303.199,1327.149,882469200
2025-12-01,1329.422,1341.95,1310.424,1336.756,1119198600
2025-12-02,1334.002,1335.746,1315.464,1320.156,762146400
2025-12-03,1317.582,1324.706,1303.338,1308.367,702705800
2025-12-04,1303.993,1326.226,1294.758,1326.165,677877100
2025-12-05,1319.723,1330.586,1303.716,1326.101,709168600
2025-12-08,1325.97,1360.711,1325.738,1350.795,831105000
2025-12-09,1338.845,1358.899,1337.318,1347.105,705705700
2025-12-10,1337.524,1350.653,1317.711,1346.703,827364000
2025-12-11,1349.669,1350.867,1325.831,1325.831,812499600
2025-12-12,1324.3,1351.558,1314.011,1348.881,1218971100
2025-12-15,1333.361,1343.781,1318.53,1318.906,847012000
2025-12-16,1313.526,1317.154,1286.252,1293.382,733072600
2025-12-17,1294.697,1327.761,1289.235,1325.335,773892100
2025-12-18,1314.665,1323.676,1305.966,1305.966,627046500
2025-12-19,1314.75,1323.86,1306.796,1308.589,643658500
2025-12-22,1314.066,1338.145,1314.066,1335.245,801867000
2025-12-23,1333.539,1348.538,1331.385,1340.015,762758600
2025-12-24,1342.128,1352.743,1332.916,1352.126,733909000
2025-12-25,1347.784,1356.604,1339.966,1349.058,726230500
2025-12-26,1346.109,1356.108,1339.141,1345.827,852160100
2025-12-29,1345.98,1364.272,1341.942,1346.319,1039029700
2025-12-30,1346.132,1367.007,1346.029,1359.873,794150500
2025-12-31,1367.166,1368.48,1342.683,1344.2,730691500
2026-01-05,1360.897,1403.535,1360.897,1403.414,1034546600
2026-01-06,1401.789,1442.104,1400.405,1429.302,1182033200
2026-01-07,1442.507,1452.045,1427.98,1443.388,1233854800
2026-01-08,1441.186,1483.231,1441.186,1455.173,1348228800
2026-01-09,1442.224,1477.239,1437.577,1475.968,1330640500
2026-01-12,1490.499,1515.107,1478.847,1511.836,1567591900
2026-01-13,1508.183,1511.653,1460.409,1469.57,1523474700
2026-01-14,1479.295,1532.578,1479.295,1500.911,1777974500
2026-01-15,1491.232,1504.844,1468.024,1493.945,1408817300
2026-01-16,1509.7,1528.783,1495.679,1514.068,1676577600
2026-01-19,1513.59,1525.122,1502.725,1506.857,1287625700
2026-01-20,1508.367,1525.809,1473.194,1482.994,1403065800
2026-01-21,1482.658,1546.049,1482.658,1535.393,1444741400
2026-01-22,1563.38,1574.966,1530.245,1541.638,1521219400
2026-01-23,1530.285,1553.707,1523.501,1553.707,2124468700
2026-01-26,1556.568,1575.452,1529.316,1532.796,2123161200
2026-01-27,1530.07,1562.579,1507.406,1555.978,1978728100
2026-01-28,1566.188,1569.435,1535.905,1554.804,1554361000
2026-01-29,1550.989,1560.645,1507.299,1507.64,1640834400
2026-01-30,1501.512,1522.329,1465.324,1509.402,1486558300
2026-02-02,1492.811,1508.543,1450.098,1450.898,1315396700
2026-02-03,1475.568,1478.051,1430.004,1471.069,1389145900
2026-02-04,1452.976,1455.124,1432.597,1453.476,1563905000
2026-02-05,1423.662,1441.163,1416.265,1432.522,1519927800
2026-02-06,1415.047,1440.808,1405.874,1422.406,1303509900
2026-02-09,1453.54,1458.927,1441.897,1458.163,1574783900
2026-02-10,1463.348,1485.966,1463.348,1471.498,1177039100
2026-02-11,1461.999,1467.281,1453.006,1455.114,897850900
2026-02-12,1463.609,1481.979,1454.628,1480.995,1001520900
2026-02-13,1470.259,1492.086,1466.707,1470.333,989661600
2026-02-24,1493.453,1493.774,1453.55,1465.365,1029596900
2026-02-25,1468.511,1481.291,1454.413,1473.285,1107588300
2026-02-26,1478.726,1494.749,1456.033,1485.865,1115413400
2026-02-27,1468.078,1493.524,1463.731,1488.023,999977200
2026-03-02,1459.776,1486.549,1459.51,1464.772,1342734800
2026-03-03,1467.764,1469.603,1385.593,1388.41,1430240300
2026-03-04,1380.13,1407.003,1376.111,1381.558,1070558500
2026-03-05,1418.883,1423.612,1397.755,1405.353,1100698600
2026-03-06,1396.594,1422.001,1396.594,1414.394,969054900
2026-03-09,1373.817,1398.245,1351.883,1390.483,1184009400
2026-03-10,1417.259,1424.719,1402.631,1420.539,1215340300
2026-03-11,1421.352,1427.095,1400.447,1401.084,1297367900
2026-03-12,1397.779,1412.525,1372.975,1383.652,1175919300
2026-03-13,1374.65,1392.434,1365.622,1373.636,1200226300
2026-03-16,1370.703,1386.554,1349.272,1384.987,1095376200
2026-03-17,1386.26,1390.844,1354.153,1354.153,918465500
2026-03-18,1363.54,1373.857,1348.23,1372.576,979986600
2026-03-19,1348.553,1354.721,1333.68,1339.034,1105292300
2026-03-20,1344.93,1347.367,1317.405,1318.307,1409109800
2026-03-23,1292.892,1305.793,1254.848,1261.438,1424810100
2026-03-24,1281.579,1291.918,1249.011,1290.791,1171663000
2026-03-25,1299.631,1326.649,1299.626,1315.412,1100570500
2026-03-26,1313.965,1316.455,1285.384,1288.807,863177000
2026-03-27,1265.531,1308.945,1265.531,1300.756,860307000
2026-03-30,1278.993,1294.543,1269.319,1289.78,935720400
2026-03-31,1283.899,1296.034,1256.327,1256.327,958319000
2026-04-01,1290.638,1302.871,1282.313,1298.198,982646100
2026-04-02,1294.63,1294.63,1254.625,1262.182,758811400
2026-04-03,1270.936,1272.837,1254.759,1256.21,670642100
2026-04-07,1261.711,1286.53,1261.711,1274.015,632234900
2026-04-08,1317.276,1352.689,1316.634,1352.689,1142256800
2026-04-09,1335.287,1362.907,1333.012,1343.946,784651000
2026-04-10,1363.577,1382.937,1362.397,1364.495,847165900
2026-04-13,1358.463,1396.003,1358.463,1375.287,901889400
2026-04-14,1398.4,1409.848,1387.418,1405.072,930265900
2026-04-15,1415.392,1433.354,1399.754,1406.322,954766300
2026-04-16,1406.319,1424.173,1402.196,1422.228,1000577100
2026-04-17,1414.873,1433.795,1413.576,1423.351,963505300
2026-04-20,1426.893,1451.39,1426.034,1450.521,1127584600
2026-04-21,1445.204,1445.539,1415.599,1426.677,965157000
2026-04-22,1420.776,1451.461,1420.244,1451.139,980596100
2026-04-23,1466.124,1467.699,1419.009,1432.592,1144654000
2026-04-24,1443.037,1472.957,1417.206,1453.685,1141340600
2026-04-27,1478.314,1515.282,1466.664,1508.385,1356053800
2026-04-28,1497.322,1525.342,1479.673,1488.661,1192550800
2026-04-29,1474.117,1495.009,1451.712,1493.505,1145722100
2026-04-30,1511.388,1580.515,1511.388,1571.065,1510961200
2026-05-06,1634.313,1715.081,1631.651,1656.946,1830104800
2026-05-07,1663.159,1682.222,1646.944,1678.887,1393006300
2026-05-08,1653.311,1655.572,1625.608,1640.46,1500507400
2026-05-11,1687.643,1727.305,1669.733,1716.691,1829405800
2026-05-12,1708.211,1747.172,1687.963,1723.784,1692708900
2026-05-13,1684.368,1771.492,1677.544,1770.147,1777324700
2026-05-14,1792.342,1800.606,1723.699,1725.093,2107102300
2026-05-15,1724.355,1769.804,1669.987,1696.261,2160121400
2026-05-18,1690.382,1748.104,1684.901,1709.963,1591395600
2026-05-19,1697.402,1776.256,1670.358,1775.135,1710436800
2026-05-20,1764.213,1835.221,1764.213,1832.022,1845254200
2026-05-21,1866.287,1892.595,1759.939,1764.174,2127403800
2026-05-22,1790.744,1797.649,1747.139,1790.771,1760391900
2026-05-25,1791.67,1899.967,1774.194,1896.037,2149793700
2026-05-26,1877.388,1880.648,1824.322,1867.709,1940888500
2026-05-27,1875.422,1901.966,1809.705,1815.451,2160969900
2026-05-28,1805.113,1854.52,1796.035,1844.249,2154008000
2026-05-29,1850.273,1855.256,1727.621,1751.323,2343137400
2026-06-01,1751.232,1753.02,1662.821,1663.694,1694183400
2026-06-02,1676.309,1710.98,1641.167,1690.558,1557622000
2026-06-03,1697.659,1776.202,1697.36,1726.181,1682555400
2026-06-04,1700.312,1759.984,1697.221,1738.059,1496770100
2026-06-05,1706.531,1735.078,1659.479,1668.329,1683570900
2026-06-08,1587.969,1634.033,1578.179,1596.566,1570749900
2026-06-09,1630.232,1666.481,1607.578,1663.109,1409895800
2026-06-10,1662.846,1722.334,1632.327,1652.224,1591172500
2026-06-11,1644.603,1676.531,1631.936,1662.436,1422069400
2026-06-12,1726.005,1730.893,1656.845,1663.221,2101856700
2026-06-15,1687.67,1748.512,1658.324,1748.326,1614093800
2026-06-16,1751.705,1766.138,1729.037,1758.424,1501821800
2026-06-17,1729.228,1841.365,1725.901,1840.821,1801831300
2026-06-18,1837.07,1937.301,1836.038,1911.513,1771099900
2026-06-22,1922.474,1963.327,1879.59,1948.928,1919133400
2026-06-23,1929.266,1982.906,1890.163,1916.212,1813729500
2026-06-24,1896.341,1997.905,1886.741,1989.426,1853252800
2026-06-25,2004.775,2076.882,2000.801,2066.331,1851003200
2026-06-26,2034.433,2076.465,1976.923,2032.284,1969517000
2026-06-29,2039.667,2127.801,2013.512,2126.011,2066148400
2026-06-30,2132.882,2214.613,2113.95,2207.865,1961786100
2026-07-01,2205.656,2255.248,2120.363,2153.043,2258095400
2026-07-02,2059.898,2105.291,1978.32,1987.291,2091336300
2026-07-03,1978.755,2039.306,1948.172,1975.6,1758380800
2026-07-06,2015.181,2022.91,1913.822,1996.103,1651199700
2026-07-07,1965.795,2039.598,1950.979,2001.586,1397325000
2026-07-08,2022.451,2078.642,1961.638,2016.233,1572058800
2026-07-09,2047.238,2188.982,2023.544,2185.825,1858060500
2026-07-10,2190.178,2233.538,2064.976,2064.976,2307342900
2026-07-13,2038.362,2110.179,1974.055,1994.319,1833793700
2026-07-14,1994.44,2026.471,1895.555,2009.73,1601395000
2026-07-15,2021.578,2028.652,1908.178,1924.274,1428193300
2026-07-16,1869.936,1947.247,1828.573,1846.877,1422678200
2026-07-17,1829.981,1844.379,1698.323,1715.404,1662902400
2026-07-20,1764.593,1776.073,1646.387,1718.69,1798479300
2026-07-21,1747.49,1904.858,1663.85,1903.161,1951274500
2026-07-22,1874.779,1934.605,1836.107,1860.085,1623861100
2026-07-23,1876.613,1876.986,1770.532,1789.694,1192426900
2026-07-24,1766.259,1831.276,1748.797,1787.196,1017752600
2026-07-27,1780.72,1816.43,1724.466,1807.951,1034729700
2026-07-28,1755.867,1797.584,1675.988,1693.479,1088394400
2026-07-29,1704.585,1711.579,1608.141,1678.738,1421853500
2026-07-30,1653.467,1671.509,1561.996,1588.415,1469567500
2026-07-31,1721.355,1731.206,1635.685,1635.962,1450741000
2026-08-03,1619.294,1621.993,1549.739,1552.89,1233498600
